2026-06-15 14:56:46.939690: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-06-15 14:56:47.033053: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
tb_monitor -> tb/sweep | total=1080 | every 30s
[ 124.7 min]  517/1080 (47.9%)  rate= 3.3/min  eta=170.5 min  workers=30
[ 125.2 min]  521/1080 (48.2%)  rate= 3.7/min  eta=149.4 min  workers=30
[ 125.7 min]  521/1080 (48.2%)  rate= 3.1/min  eta=181.4 min  workers=30
[ 126.2 min]  522/1080 (48.3%)  rate= 3.3/min  eta=169.0 min  workers=30
[ 126.7 min]  526/1080 (48.7%)  rate= 3.7/min  eta=148.1 min  workers=30
[ 127.2 min]  527/1080 (48.8%)  rate= 3.3/min  eta=167.5 min  workers=30
[ 127.7 min]  529/1080 (49.0%)  rate= 3.7/min  eta=147.3 min  workers=30
[ 128.2 min]  529/1080 (49.0%)  rate= 3.5/min  eta=156.5 min  workers=30
[ 128.8 min]  534/1080 (49.4%)  rate= 4.0/min  eta=137.8 min  workers=30
[ 129.3 min]  536/1080 (49.6%)  rate= 4.2/min  eta=130.1 min  workers=30
[ 129.8 min]  538/1080 (49.8%)  rate= 3.7/min  eta=145.2 min  workers=30
[ 130.3 min]  539/1080 (49.9%)  rate= 3.9/min  eta=137.0 min  workers=30
[ 130.8 min]  540/1080 (50.0%)  rate= 3.9/min  eta=136.8 min  workers=30
[ 131.3 min]  541/1080 (50.1%)  rate= 3.3/min  eta=164.1 min  workers=30
[ 131.8 min]  543/1080 (50.3%)  rate= 3.5/min  eta=153.5 min  workers=30
[ 132.3 min]  543/1080 (50.3%)  rate= 3.1/min  eta=175.4 min  workers=30
[ 132.8 min]  544/1080 (50.4%)  rate= 3.3/min  eta=163.4 min  workers=30
[ 133.3 min]  545/1080 (50.5%)  rate= 2.4/min  eta=222.4 min  workers=30
